hour,avg_value
0.0,24.807953754071796
0.25,29.194577316923073
0.5,32.42979465831794
0.75,40.04801013340513
1.0,42.18366307160002
1.25,47.007546042317955
1.5,47.21660035780514
1.75,46.1840570649026
2.0,46.31621233342566
2.25,45.216752447241014
2.5,45.002903969764084
2.75,45.08013261222563
3.0,42.718474232338465
3.25,43.67062485297435
3.5,40.93354046749744
3.75,39.385540037743574
4.0,37.17149064005129
4.25,37.62774493811285
4.5,35.53735285353846
4.75,34.59226739477949
5.0,33.54005976348719
5.25,32.34646409579486
5.5,31.462240434307677
5.75,34.01380877333334
6.0,34.54228529815386
6.25,34.44196823815383
6.5,34.27567986748717
6.75,34.666865007712815
7.0,33.46075588254359
7.25,31.88430090514871
7.5,28.68917997010256
7.75,28.90143997155898
8.0,27.809284050994872
8.25,27.503649507076915
8.5,26.11230769230769
8.75,25.527935369723078
9.0,23.48704361668717
9.25,21.730219029743587
9.5,22.044375433230762
9.75,19.84236153169232
10.0,17.084065183589747
10.25,18.572158170256408
10.5,18.228456285128203
10.75,18.627104726153846
11.0,16.97230769230769
11.25,14.37996261948718
11.5,12.081140927456408
11.75,9.986629286153848
12.0,6.810292021020515
12.25,6.099767622030768
12.5,7.338974358974359
12.75,9.039901510020513
13.0,10.092307692307694
13.25,11.045641025641023
13.5,11.165641025641026
13.75,12.961025641025637
14.0,12.369032846246155
14.25,10.426362434923075
14.5,12.856359831005125
14.75,11.185689090215387
15.0,9.160793263056405
15.25,9.35477330489231
15.5,9.40056088508718
15.75,9.233648230861537
16.0,9.509230769230765
16.25,8.951282051282053
16.5,7.225128205128204
16.75,6.4172201394769175
17.0,7.046153846153848
17.25,7.171794871794872
17.5,9.055384615384613
17.75,9.62307692307692
18.0,9.649230769230767
18.25,11.545351812369237
18.5,11.85412659638974
18.75,11.663539318184617
19.0,10.202844545107686
19.25,11.061025641025646
19.5,12.975286125405127
19.75,9.316971141497433
20.0,8.17822916049231
20.25,11.734540926923076
20.5,12.55027584676923
20.75,10.801538461538465
21.0,10.719408126020516
21.25,10.560085629528205
21.5,10.913333333333334
21.75,11.453846153846154
22.0,12.499487179487177
22.25,13.826568176687182
22.5,14.180927151046157
22.75,13.175384615384619
23.0,15.056923076923075
23.25,16.35927141510769
23.5,17.182743393025643
23.75,19.313452860307688
