hour,avg_value
0.0,37.3609705201436
0.25,37.52029104761025
0.5,37.65209289866668
0.75,37.83774262282049
1.0,38.04155805923076
1.25,38.16211960358974
1.5,38.20206963653847
1.75,38.186558974358974
2.0,38.19155897435896
2.25,38.161682051282035
2.5,38.16375384615384
2.75,38.16540512820512
3.0,38.115692307692306
3.25,38.10692820512821
3.5,38.06864615384615
3.75,38.02142051282051
4.0,37.95949743589745
4.25,37.92494871794874
4.5,37.91483589743589
4.75,37.875969230769236
5.0,37.84324102564104
5.25,37.83144102564103
5.5,37.82902051282051
5.75,37.872025641025644
6.0,37.859441025641026
6.25,37.841758974358974
6.5,37.84254785461538
6.75,37.824348717948716
7.0,37.74255897435896
7.25,37.69995384615385
7.5,37.63145128205128
7.75,37.58500512820514
8.0,37.54703589743591
8.25,37.497461538461536
8.5,37.48164102564103
8.75,37.40597435897436
9.0,37.35262564102563
9.25,37.336239730641026
9.5,37.276425641025654
9.75,37.225666666666676
10.0,37.156528205128225
10.25,37.15467692307691
10.5,37.127861538461545
10.75,37.09843076923077
11.0,37.05628717948719
11.25,36.99678017841027
11.5,36.90706666666667
11.75,36.81890256410254
12.0,36.704977651805116
12.25,36.614630769230786
12.5,36.58707179487181
12.75,36.60005641025641
13.0,36.64812049699489
13.25,36.66979474518974
13.5,36.70097942387693
13.75,36.75325383032823
14.0,36.760576907251284
14.25,36.721399568333354
14.5,36.773706828974376
14.75,36.764502564102564
15.0,36.70581538461538
15.25,36.68432820512817
15.5,36.65808205128207
15.75,36.63987949346154
16.0,36.64672307692306
16.25,36.59602850432821
16.5,36.60386310842563
16.75,36.53946802329229
17.0,36.53039487179487
17.25,36.542615384615374
17.5,36.52831794871796
17.75,36.545969230769245
18.0,36.567210256410256
18.25,36.63567277651281
18.5,36.69696923076924
18.75,36.68411282051283
19.0,36.65353333333335
19.25,36.67491401493332
19.5,36.71158781050257
19.75,36.64538461538461
20.0,36.569508283282055
20.25,36.60485128205129
20.5,36.644435897435876
20.75,36.67326218673334
21.0,36.67864102564104
21.25,36.72642564102565
21.5,36.751910010666656
21.75,36.7591282051282
22.0,36.781087179487166
22.25,36.822
22.5,36.84107179487177
22.75,36.859097435897425
23.0,36.89930213243589
23.25,36.99410528571795
23.5,37.094358974358975
23.75,37.16879487179489
