hour,avg_value
0.0,37.35016666666666
0.25,37.578192307692305
0.5,37.70796464647436
0.75,37.79445925064103
1.0,38.05174777692308
1.25,38.16846153846153
1.5,38.20569230769231
1.75,38.204820383333335
2.0,38.17309069326923
2.25,38.12529487179488
2.5,38.1626923076923
2.75,38.17673076923077
3.0,38.18457044807694
3.25,38.162423076923076
3.5,38.17515384615385
3.75,38.202970042307705
4.0,38.179102564102564
4.25,38.14129487179486
4.5,38.10756410256411
4.75,38.14137179487181
5.0,38.1626282051282
5.25,38.18330769230769
5.5,38.16848717948717
5.75,38.19355128205128
6.0,38.23657692307692
6.25,38.22778205128204
6.5,38.23520512820514
6.75,38.21939743589743
7.0,38.21783333333333
7.25,38.19852564102564
7.5,38.14688461538461
7.75,38.138000000000005
8.0,38.128269230769234
8.25,38.13941025641025
8.5,38.029410256410266
8.75,37.9915
9.0,37.97871794871796
9.25,37.970525641025645
9.5,37.92385897435898
9.75,37.8173717948718
10.0,37.76314102564103
10.25,37.76464102564102
10.5,37.68601282051282
10.75,37.69315384615384
11.0,37.63076923076923
11.25,37.57907692307692
11.5,37.52294871794872
11.75,37.49084615384616
12.0,37.41886205619231
12.25,37.35925641025642
12.5,37.42211538461538
12.75,37.349089743589744
13.0,37.24742307692307
13.25,37.25164102564102
13.5,37.249705128205115
13.75,37.17779359288462
14.0,37.132807692307686
14.25,37.09912820512821
14.5,37.08033333333333
14.75,36.98998717948718
15.0,36.922192307692306
15.25,36.959373235358974
15.5,36.949653846153836
15.75,36.859102564102564
16.0,36.742000000000004
16.25,36.654586339205125
16.5,36.71273076923078
16.75,36.75279477048718
17.0,36.74061051812822
17.25,36.636641025641026
17.5,36.56692227989743
17.75,36.546192307692316
18.0,36.52303846153847
18.25,36.54464102564103
18.5,36.60094871794872
18.75,36.529122188653844
19.0,36.533384615384605
19.25,36.563974358974356
19.5,36.50528205128206
19.75,36.482935897435894
20.0,36.44514102564103
20.25,36.42147435897435
20.5,36.49329487179486
20.75,36.5806282051282
21.0,36.61298717948718
21.25,36.60776923076923
21.5,36.614371794871786
21.75,36.678564102564096
22.0,36.75887179487181
22.25,36.782192307692306
22.5,36.79667948717949
22.75,36.820653846153846
23.0,36.91424358974358
23.25,37.001384615384616
23.5,37.040000000000006
23.75,37.17897435897435
