hour,avg_value
0.0,22.775790434358974
0.25,27.11794871794871
0.5,29.365534024102562
0.75,37.97120897061538
1.0,40.918619895666666
1.25,45.21008654730768
1.5,47.27506008071794
1.75,44.50963060533333
2.0,43.47486244705129
2.25,41.10707781623077
2.5,42.78637031653847
2.75,45.48295868730767
3.0,43.00631680512819
3.25,43.650788716410254
3.5,41.87700921438462
3.75,43.09877390615384
4.0,41.29026506166666
4.25,41.68771294169232
4.5,40.14961373425641
4.75,42.37646524102563
5.0,43.63785829505128
5.25,44.67328664700001
5.5,42.74770509435898
5.75,43.55411535076923
6.0,45.96483732784615
6.25,47.400317788205115
6.5,47.4997627697436
6.75,47.93022925705129
7.0,49.97452783792308
7.25,51.01570194133331
7.5,48.26855055307689
7.75,46.109649216282044
8.0,44.983469923974354
8.25,46.206883137051264
8.5,44.05245603828204
8.75,42.45707781623077
9.0,40.65890726589745
9.25,41.03642290902564
9.5,37.453251061128206
9.75,32.7556426197436
10.0,30.269703649871794
10.25,33.244871794871806
10.5,28.47488781243591
10.75,27.72307692307692
11.0,28.15944723961538
11.25,24.07700921438461
11.5,15.380493514641017
11.75,14.124358974358973
12.0,14.231642862128208
12.25,12.32769870102564
12.5,16.939162644820513
12.75,15.489829727205127
13.0,10.13076923076923
13.25,11.593589743589744
13.5,12.52948717948718
13.75,11.835897435897435
14.0,10.92063298194872
14.25,11.455829311487175
14.5,10.241405070384614
14.75,10.123778029435897
15.0,6.461538461538463
15.25,6.771794871794873
15.5,9.956410256410257
15.75,8.350701106358976
16.0,5.83205128205128
16.25,6.1217948717948705
16.5,8.712820512820512
16.75,7.324358974358973
17.0,9.005427022564104
17.25,5.683333333333334
17.5,6.603846153846154
17.75,6.8090604964358965
18.0,6.3668389415897435
18.25,9.337179487179485
18.5,9.512906650282053
18.75,8.535897435897436
19.0,10.594871794871796
19.25,10.001035826333334
19.5,6.960957516615384
19.75,7.534369159666669
20.0,4.755128205128203
20.25,5.044871794871796
20.5,9.337179487179487
20.75,11.621794871794872
21.0,11.129487179487182
21.25,11.383333333333333
21.5,11.434615384615388
21.75,11.748759482692305
22.0,14.364102564102561
22.25,11.70384615384615
22.5,11.299999999999999
22.75,12.43717948717949
23.0,18.166666666666668
23.25,17.696153846153837
23.5,18.325727163102563
23.75,21.09871794871795
